title,price,model,features
MSI RTX 3070 Ti 8GB GDRR6X 256-Bit OC Graphics Card (Used),"₨115,000.00",Model not found,"['Brand MSI', 'Graphics Coprocessor RTX 2070 Super', 'Video Output Interface DP, HDMI', 'Chipset Brand NVIDIA', 'Graphics RAM Type GDDR6']"
"GIGABYTE RTX 3080 Ti Gaming OC 12G Graphics Card, 12GB 384-Bit GDDR6X","₨155,000.00",Model not found,"['Brand Gigabyte', 'Graphics Coprocessor NVIDIA GeForce RTX 3080 Ti', 'Video Output Interface DisplayPort, HDMI', 'Chipset Brand NVIDIA Graphics', 'RAM Type GDDR6X']"
Sapphire Pulse AMD Radeon RX 6600 XT Graphics Card (Used),"₨66,000.00",Model not found,"['Brand Sapphire Technology', 'Graphics Coprocessor\xa0 RX 6600 XT', 'Video Output Interface DP, HDMI', 'Chipset Brand AMD Graphics', 'RAM Type GDDR6']"
MSI AMD RX 6600 MECH 2X – 8GB Graphics Card (Used),"₨54,000.00",Model not found,"['Brand MSI', 'Graphics Coprocessor RX 6600', 'Video Output Interface DP, HDMI', 'Chipset Brand AMD Graphics', 'RAM Type GDDR6']"
MSI Gaming X 8G RTX 3050 Graphics Card,"₨70,000.00",Model not found,"['Brand MSI', 'Graphics Coprocessor\xa0 RTX 3050', 'Video Output Interface DP, HDMI', 'Chipset Brand Nvidia', 'Graphics RAM Type GDDR6']"
XFX Speedster QICK 210 RX 6500 XT 4GB GDDR6 Graphics Card,"₨37,000.00",Model not found,"['Brand XFX', 'Graphics Coprocessor AMD RX 6500 XT', 'Video Output Interface\xa0DisplayPort, HDMI', 'Chipset Brand AMD', 'Graphics RAM Type GDDR6']"
MSI RX 6800 XT 16GB GDRR6 256-Bit Graphics Card Used,"₨110,000.00",Model not found,"['Brand MSI', 'Graphics Coprocessor AMD Radeon RX 6800 XT', 'Video Output Interface DisplayPort, HDMI', 'Chipset Brand AMD', 'Graphics RAM Type GDDR6']"
"ASUS TUF AMD Radeon RX 6900 XT OC, 16GB GDDR6 Graphics Card Used","₨135,000.00",Model not found,"['Brand ASUS', 'Graphics Coprocessor AMD Radeon RX 6900 XT', 'Video Output Interface DisplayPort, HDMI', 'Chipset Brand AMD', 'Graphics RAM Type GDDR6']"
ASUS GTX 750 Ti 2GB 128Bit GDDR5 Graphics Card Used,"₨16,500.00.",Model not found,"['Brand\xa0ASUS', 'Graphics RAM Size\xa02GB', 'Graphics Coprocessor GTX 750Ti', 'Chipset Brand\xa0Nvidia', 'Graphics Ram Type\xa0GDDR5']"
GIGABYTE RX 5500 XT OC 8GB 128-Bit GDDR6 Graphics Card,"₨35,000.00",Model not found,"['Brand Gigabyte', 'Graphics Coprocessor AMD Radeon RX 5500 XT', 'Video Output Interface DisplayPort, HDMI', 'Chipset Brand AMD Graphics', 'RAM Type GDDR6']"
